Time,valveStuck.m_flow,valveStuck.dp,valveStuck.leakPosition,valveStuck.stuckPosition,valveStuck.valve.opening,valveStuck.cmd
216.5,0.936773,303975,0.2,0.6,0.6,0.921667
217,0.936773,303975,0.2,0.6,0.6,0.923333
217.5,0.936773,303975,0.2,0.6,0.6,0.925
218,0.936773,303975,0.2,0.6,0.6,0.926667
218.5,0.936773,303975,0.2,0.6,0.6,0.928333
219,0.936773,303975,0.2,0.6,0.6,0.93
219.5,0.936773,303975,0.2,0.6,0.6,0.931667
220,0.936773,303975,0.2,0.6,0.6,0.933333
220.5,0.936773,303975,0.2,0.6,0.6,0.935
221,0.936773,303975,0.2,0.6,0.6,0.936667
221.5,0.936773,303975,0.2,0.6,0.6,0.938333
222,0.936773,303975,0.2,0.6,0.6,0.94
222.5,0.936773,303975,0.2,0.6,0.6,0.941667
223,0.936773,303975,0.2,0.6,0.6,0.943333
223.5,0.936773,303975,0.2,0.6,0.6,0.945
224,0.936773,303975,0.2,0.6,0.6,0.946667
224.5,0.936773,303975,0.2,0.6,0.6,0.948333
225,0.936773,303975,0.2,0.6,0.6,0.95
225.5,0.936773,303975,0.2,0.6,0.6,0.951667
226,0.936773,303975,0.2,0.6,0.6,0.953333
226.5,0.936773,303975,0.2,0.6,0.6,0.955
227,0.936773,303975,0.2,0.6,0.6,0.956667
227.5,0.936773,303975,0.2,0.6,0.6,0.958333
228,0.936773,303975,0.2,0.6,0.6,0.96
228.5,0.936773,303975,0.2,0.6,0.6,0.961667
229,0.936773,303975,0.2,0.6,0.6,0.963333
229.5,0.936773,303975,0.2,0.6,0.6,0.965
230,0.936773,303975,0.2,0.6,0.6,0.966667
230.5,0.936773,303975,0.2,0.6,0.6,0.968333
231,0.936773,303975,0.2,0.6,0.6,0.97
231.5,0.936773,303975,0.2,0.6,0.6,0.971667
232,0.936773,303975,0.2,0.6,0.6,0.973333
232.5,0.936773,303975,0.2,0.6,0.6,0.975
233,0.936773,303975,0.2,0.6,0.6,0.976667
233.5,0.936773,303975,0.2,0.6,0.6,0.978333
234,0.936773,303975,0.2,0.6,0.6,0.98
234.5,0.936773,303975,0.2,0.6,0.6,0.981667
235,0.936773,303975,0.2,0.6,0.6,0.983333
235.5,0.936773,303975,0.2,0.6,0.6,0.985
236,0.936773,303975,0.2,0.6,0.6,0.986667
236.5,0.936773,303975,0.2,0.6,0.6,0.988333
237,0.936773,303975,0.2,0.6,0.6,0.99
237.5,0.936773,303975,0.2,0.6,0.6,0.991667
238,0.936773,303975,0.2,0.6,0.6,0.993333
238.5,0.936773,303975,0.2,0.6,0.6,0.995
239,0.936773,303975,0.2,0.6,0.6,0.996667
239.5,0.936773,303975,0.2,0.6,0.6,0.998333
240,0.936773,303975,0.2,0.6,0.6,1
240.5,0.936773,303975,0.2,0.6,0.6,1.00167
241,0.936773,303975,0.2,0.6,0.6,1.00333
241.5,0.936773,303975,0.2,0.6,0.6,1.005
242,0.936773,303975,0.2,0.6,0.6,1.00667
242.5,0.936773,303975,0.2,0.6,0.6,1.00833
243,0.936773,303975,0.2,0.6,0.6,1.01
243.5,0.936773,303975,0.2,0.6,0.6,1.01167
244,0.936773,303975,0.2,0.6,0.6,1.01333
244.5,0.936773,303975,0.2,0.6,0.6,1.015
245,0.936773,303975,0.2,0.6,0.6,1.01667
245.5,0.936773,303975,0.2,0.6,0.6,1.01833
246,0.936773,303975,0.2,0.6,0.6,1.02
246.5,0.936773,303975,0.2,0.6,0.6,1.02167
247,0.936773,303975,0.2,0.6,0.6,1.02333
247.5,0.936773,303975,0.2,0.6,0.6,1.025
248,0.936773,303975,0.2,0.6,0.6,1.02667
248.5,0.936773,303975,0.2,0.6,0.6,1.02833
249,0.936773,303975,0.2,0.6,0.6,1.03
249.5,0.936773,303975,0.2,0.6,0.6,1.03167
250,0.936773,303975,0.2,0.6,0.6,1.03333
