Time,system.u,system.x,system.y
14.46,1,2.49999,7.59997
14.52,1,2.49999,7.59997
14.58,1,2.49999,7.59997
14.64,1,2.49999,7.59998
14.7,1,2.49999,7.59998
14.76,1,2.49999,7.59998
14.82,1,2.49999,7.59998
14.88,1,2.49999,7.59998
14.94,1,2.49999,7.59998
15,1,2.49999,7.59998
15,1,2.49999,7.59998
15,2,2.49999,7.69998
15.06,2,2.6456,8.1368
15.12,2,2.78279,8.54837
15.18,2,2.91205,8.93615
15.24,2,3.03376,9.30129
15.3,2,3.14839,9.64516
15.36,2,3.25632,9.96897
15.42,2,3.35793,10.2738
15.48,2,3.45357,10.5607
15.54,2,3.54361,10.8308
15.6,2,3.6284,11.0852
15.66,2,3.70824,11.3247
15.72,2,3.78345,11.5503
15.78,2,3.85426,11.7628
15.84,2,3.92097,11.9629
15.9,2,3.98378,12.1513
15.96,2,4.04295,12.3289
16.02,2,4.09868,12.496
16.08,2,4.15117,12.6535
16.14,2,4.2006,12.8018
16.2,2,4.24716,12.9415
16.26,2,4.29102,13.0731
16.32,2,4.33233,13.197
16.38,2,4.37124,13.3137
16.44,2,4.40788,13.4236
16.5,2,4.44239,13.5272
16.56,2,4.47489,13.6247
16.62,2,4.50548,13.7165
16.68,2,4.53431,13.8029
16.74,2,4.56145,13.8843
16.8,2,4.587,13.961
16.86,2,4.61107,14.0332
16.92,2,4.63374,14.1012
16.98,2,4.65508,14.1652
17.04,2,4.67518,14.2255
17.1,2,4.69411,14.2823
17.16,2,4.71193,14.3358
17.22,2,4.72872,14.3862
17.28,2,4.74452,14.4336
17.34,2,4.75941,14.4782
17.4,2,4.77344,14.5203
17.46,2,4.78663,14.5599
17.52,2,4.79907,14.5972
17.58,2,4.81077,14.6323
17.64,2,4.8218,14.6654
17.7,2,4.83218,14.6965
17.76,2,4.84195,14.7258
17.82,2,4.85115,14.7535
17.88,2,4.85982,14.7795
17.94,2,4.86798,14.8039
18,2,4.87566,14.827
18.06,2,4.88289,14.8487
18.12,2,4.8897,14.8691
18.18,2,4.89611,14.8883
18.24,2,4.90214,14.9064
18.3,2,4.90781,14.9234
18.36,2,4.91314,14.9394
18.42,2,4.91817,14.9545
18.48,2,4.9229,14.9687
18.54,2,4.92736,14.9821
18.6,2,4.93156,14.9947
18.66,2,4.93552,15.0066
18.72,2,4.93926,15.0178
18.78,2,4.94279,15.0284
18.84,2,4.9461,15.0383
18.9,2,4.94922,15.0477
18.96,2,4.95217,15.0565
19.02,2,4.95494,15.0648
19.08,2,4.95756,15.0727
19.14,2,4.96002,15.0801
19.2,2,4.96235,15.087
19.26,2,4.96454,15.0936
19.32,2,4.9666,15.0998
19.38,2,4.96855,15.1056
19.44,2,4.97038,15.1111
19.5,2,4.9721,15.1163
19.56,2,4.97373,15.1212
19.62,2,4.97526,15.1258
19.68,2,4.9767,15.1301
19.74,2,4.97806,15.1342
19.8,2,4.97933,15.138
19.86,2,4.98053,15.1416
19.92,2,4.98167,15.145
19.98,2,4.98274,15.1482
20.04,2,4.98375,15.1512
20.1,2,4.9847,15.1541
20.16,2,4.9856,15.1568
20.22,2,4.98645,15.1593
20.28,2,4.98724,15.1617
20.34,2,4.988,15.164
20.4,2,4.98871,15.1661
20.46,2,4.98938,15.1681
20.52,2,4.99001,15.17
20.58,2,4.99061,15.1718
20.64,2,4.99117,15.1735
20.7,2,4.9917,15.1751
20.76,2,4.99219,15.1766
