,TZon,TAmb,Q_HP1,Q_HP2,Q_GB,QCon,I_GloHor_sat,prfVen,prfOcc,powEle,T_EMI_sup
2015-01-15 12:40:00+01:00,295.6069988250732,283.5672009468078,0.0,0.0,19136.212624584718,13156.146179401992,54.0,1.0,0.6645171251560417,14400.00057220459,308.90390701293944
2015-01-15 12:45:00+01:00,295.6379989624023,283.2850432395935,0.0,0.0,19866.220735785948,26488.294314381266,54.0,1.0,0.6646706642254062,14400.00057220459,310.0624559402465
2015-01-15 12:50:00+01:00,295.6099983215332,282.72078037261963,0.0,0.0,24600.0,19800.0,54.0,1.0,0.6648242032947709,16400.00057220459,310.7969762802124
2015-01-15 12:55:00+01:00,295.61199951171875,282.71740603446966,0.0,0.0,25800.0,23400.0,54.0,1.0,0.6649777423641355,16400.00057220459,311.39025554656985
2015-01-15 13:00:00+01:00,295.6229995727539,283.1039325714111,0.0,0.0,27000.0,27000.0,54.0,1.0,0.6651312814335002,16400.00057220459,311.60330905914304
2015-01-15 13:05:00+01:00,295.6069988250732,283.18896446228024,0.0,0.0,25886.287625418063,22274.247491638795,84.0,1.0,0.7537232981001635,14900.000095367432,311.6331628799438
2015-01-15 13:10:00+01:00,295.60999908447263,283.0049772262573,0.0,0.0,22800.0,25200.0,84.0,1.0,0.7538768371695281,14900.000095367432,311.5170673370361
2015-01-15 13:15:00+01:00,295.59399833679197,282.64636659622187,0.0,0.0,24600.0,19800.0,84.0,1.0,0.7540303762388928,14900.000095367432,311.47314834594727
2015-01-15 13:20:00+01:00,295.62999801635743,282.4589603424072,0.0,0.0,24682.27424749164,21672.240802675587,84.0,1.0,0.7541839153082573,14900.000095367432,311.6435039520263
2015-01-15 13:25:00+01:00,295.6419990539551,282.5072167396545,0.0,0.0,25116.279069767446,25116.279069767443,84.0,1.0,0.754337454377622,14900.000095367432,311.78797054290766
2015-01-15 13:30:00+01:00,295.6959991455078,282.61252489089964,0.0,0.0,25886.287625418063,25284.280936454852,84.0,1.0,0.7544909934469867,14900.000095367432,311.93803367614737
2015-01-15 13:35:00+01:00,295.7279991149902,282.87831716537465,0.0,0.0,23920.265780730897,22724.252491694355,84.0,1.0,0.7546445325163513,13299.999713897705,311.90142860412595
2015-01-15 13:40:00+01:00,295.7459995269775,282.9869578838348,0.0,0.0,24765.100671140943,21140.93959731544,84.0,1.0,0.7547980715857159,13299.999713897705,311.809178352356
2015-01-15 13:45:00+01:00,295.7679988861084,283.1749467372894,0.0,0.0,23322.259136212622,25116.27906976744,84.0,1.0,0.7549516106550805,13299.999713897705,311.7600217819213
2015-01-15 13:50:00+01:00,295.7999992370605,283.0753256320953,0.0,0.0,21000.0,19800.0,84.0,1.0,0.7551051497244452,16500.00047683716,311.78206481933586
2015-01-15 13:55:00+01:00,295.8019992828369,282.81870536804195,0.0,0.0,23478.260869565216,22274.247491638795,84.0,1.0,0.7552586887938099,16500.00047683716,311.65029239654535
2015-01-15 14:00:00+01:00,295.8189979553223,282.73424286842345,0.0,0.0,22876.254180602013,22876.254180602005,84.0,1.0,0.7554122278631744,16500.00047683716,311.34556274414064
2015-01-15 14:05:00+01:00,295.83199844360354,282.61332488060003,0.0,0.0,22126.24584717608,15548.172757475082,64.0,1.0,0.6671272893352403,16800.000190734863,310.58867797851565
2015-01-15 14:10:00+01:00,295.82999801635737,282.23872785568227,0.0,0.0,21672.240802675584,24080.26755852843,64.0,1.0,0.667280828404605,16800.000190734863,310.38176879882815
2015-01-15 14:15:00+01:00,295.82999916076665,282.040781211853,0.0,0.0,25800.0,21000.0,64.0,1.0,0.6674343674739697,16800.000190734863,311.04379348754884
2015-01-15 14:20:00+01:00,295.8299987792969,282.08373427391047,0.0,0.0,27000.0,24000.0,64.0,1.0,0.6675879065433342,14400.00057220459,311.76282863616933
2015-01-15 14:25:00+01:00,295.85399742126464,282.17648258209226,0.0,0.0,28106.312292358805,26312.292358803985,64.0,1.0,0.6677414456126989,14400.00057220459,312.24337139129636
2015-01-15 14:30:00+01:00,295.8879997253418,282.43791937828064,0.0,0.0,26488.29431438127,25284.280936454852,64.0,1.0,0.6678949846820635,14400.00057220459,312.3098037719726
2015-01-15 14:35:00+01:00,295.8859992980957,282.74580330848687,0.0,0.0,25800.0,24600.0,64.0,1.0,0.6680485237514282,15200.000286102295,312.1854692459106
2015-01-15 14:40:00+01:00,295.88999938964844,282.62327108383175,0.0,0.0,20000.0,20000.000000000004,64.0,1.0,0.6682020628207928,15200.000286102295,312.09692039489744
2015-01-15 14:45:00+01:00,295.89399871826174,282.3444764789782,0.0,0.0,23273.684210568663,22957.89473683387,64.0,1.0,0.6683556018901574,15200.000286102295,311.8341412594444
2015-01-15 14:50:00+01:00,295.90399932861334,282.17607881455194,0.0,0.0,24313.415116667747,20134.546893544888,64.0,1.0,0.6685091409595221,14000.000953674316,311.6432685125442
2015-01-15 14:55:00+01:00,295.9279983520508,282.30297760963435,0.0,0.0,20538.566864469944,19470.56138750654,64.0,1.0,0.6686626800288867,14000.000953674316,311.31548309326166
2015-01-15 15:00:00+01:00,295.9499992370605,282.3454895019531,0.0,0.0,23322.259136212622,24518.272425249175,64.0,1.0,0.6688162190982513,14000.000953674316,311.0895198822021
2015-01-15 15:05:00+01:00,295.9519989013672,282.42197422981263,0.0,0.0,22200.0,19200.0,40.0,1.0,0.8900660839445109,14500.000476837158,310.94000034332265
2015-01-15 15:10:00+01:00,295.94499778747564,282.6470471858978,0.0,0.0,21000.0,23400.0,40.0,1.0,0.8902196230138755,14500.000476837158,310.91207065582273
2015-01-15 15:15:00+01:00,295.9379989624024,282.55887891678583,0.0,0.0,24051.600573343974,22847.587195417553,40.0,1.0,0.8903731620832401,14500.000476837158,310.9484838939848
2015-01-15 15:20:00+01:00,295.9379997253418,282.33834552764887,0.0,0.0,21028.571428567167,15628.571428567171,40.0,1.0,0.8905267011526048,18099.99942779541,310.96987495422366
2015-01-15 15:25:00+01:00,295.92599868774414,282.37203478813166,0.0,0.0,22876.254180602013,26488.294314381266,40.0,1.0,0.8906802402219695,18099.99942779541,310.86883983612057
2015-01-15 15:30:00+01:00,295.92599906921384,282.27792129516604,0.0,0.0,21000.0,16200.0,40.0,1.0,0.8908337792913341,18099.99942779541,310.7952058792114
2015-01-15 15:35:00+01:00,295.9299995422363,281.953494644165,0.0,0.0,23400.0,22800.0,40.0,1.0,0.8909873183606987,14900.000095367432,310.7510814666748
2015-01-15 15:40:00+01:00,295.9559982299805,282.00314984321585,0.0,0.0,22800.0,22800.0,40.0,1.0,0.8911408574300633,14900.000095367432,310.964888381958
2015-01-15 15:45:00+01:00,295.9499988555908,282.0645792007446,0.0,0.0,25800.0,25200.0,40.0,1.0,0.891294396499428,14900.000095367432,311.28143253326414
2015-01-15 15:50:00+01:00,295.9419990539551,282.105732011795,0.0,0.0,24518.27242524917,20930.232558139534,40.0,1.0,0.8914479355687925,15300.000190734863,311.59813575744624
2015-01-15 15:55:00+01:00,295.97199935913085,281.9258750915527,0.0,0.0,25369.127516778524,24161.073825503358,40.0,1.0,0.8916014746381572,15300.000190734863,311.75024089813235
2015-01-15 16:00:00+01:00,296.0049983978272,281.84687333106984,0.0,0.0,24518.27242524917,23920.2657807309,40.0,1.0,0.8917550137075219,15300.000190734863,311.76030235290517
2015-01-15 16:05:00+01:00,295.9839977264404,281.8313874721527,0.0,0.0,23400.0,22200.0,11.0,1.0,0.7150314921553705,13699.99933242798,311.74668235778813
2015-01-15 16:10:00+01:00,295.95599899291994,281.87764930725103,0.0,0.0,25284.28093645485,21070.234113712373,11.0,1.0,0.7151850312247352,13699.99933242798,311.7858058929443
2015-01-15 16:15:00+01:00,295.9599990844726,282.08521189689634,0.0,0.0,23400.0,25800.0,11.0,1.0,0.7153385702940998,13699.99933242798,311.75850868225103
2015-01-15 16:20:00+01:00,295.94699859619135,282.1890873908997,0.0,0.0,23400.0,18000.0,11.0,1.0,0.7154921093634644,14100.000858306885,311.68136329650883
2015-01-15 16:25:00+01:00,295.92599868774414,282.21111826896663,0.0,0.0,21600.0,22200.0,11.0,1.0,0.7156456484328291,14100.000858306885,311.5652446746826
2015-01-15 16:30:00+01:00,295.92499885559084,282.2352188110351,0.0,0.0,22200.0,20400.0,11.0,1.0,0.7157991875021937,14100.000858306885,311.4840579986572
2015-01-15 16:35:00+01:00,295.9539985656738,282.2031254768372,0.0,0.0,22800.0,21600.0,11.0,1.0,0.7159527265715583,16500.00047683716,311.2689680099487
2015-01-15 16:40:00+01:00,295.963998413086,282.3784446239472,0.0,0.0,21672.240802675584,24080.267558528427,11.0,1.0,0.716106265640923,16500.00047683716,311.17014770507814
2015-01-15 16:45:00+01:00,295.9899978637696,282.64685888290404,0.0,0.0,21672.240802675584,16856.1872909699,11.0,1.0,0.7162598047102876,16500.00047683716,311.0324420928955
2015-01-15 16:50:00+01:00,295.9969993591309,282.7002291202545,0.0,0.0,22126.24584717608,24518.272425249175,11.0,1.0,0.7164133437796523,12899.999618530272,310.9268291473388
2015-01-15 16:55:00+01:00,296.0119979858398,282.67366390228267,0.0,0.0,22800.0,19800.0,11.0,1.0,0.7165668828490168,12899.999618530272,310.89292144775385
2015-01-15 17:00:00+01:00,296.0169994354248,282.62093667984004,0.0,0.0,21000.0,18600.0,11.0,1.0,0.7167204219183815,12899.999618530272,310.89841480255126
2015-01-15 17:05:00+01:00,296.03099937438964,282.5914620876312,0.0,0.0,22876.254180602013,24080.26755852843,0.0,1.0,0.34101028623721363,11199.999809265137,310.87082366943355
2015-01-15 17:10:00+01:00,296.01699867248533,282.5805252075195,0.0,0.0,21672.240802675584,18662.207357859534,0.0,1.0,0.3411638253065783,11199.999809265137,310.8139738082885
2015-01-15 17:15:00+01:00,296.0099983215332,282.56220092773435,0.0,0.0,21528.239202657805,23920.265780730897,0.0,1.0,0.3413173643759429,11199.999809265137,310.73069267272945
2015-01-15 17:20:00+01:00,296.00299949645995,282.47185568809505,0.0,0.0,22274.247491638795,19264.214046822744,0.0,1.0,0.3414709034453076,14000.000953674316,310.6584524154663
2015-01-15 17:25:00+01:00,296.0089984893799,282.34949412345884,0.0,0.0,23400.0,19800.0,0.0,1.0,0.34162444251467217,14000.000953674316,310.55457859039296
2015-01-15 17:30:00+01:00,296.00999984741213,282.331036901474,0.0,0.0,20930.23255813953,23322.25913621262,0.0,1.0,0.3417779815840368,14000.000953674316,310.4504053115845
2015-01-15 17:35:00+01:00,295.98599853515617,282.27534737586967,0.0,0.0,22274.247491638795,17458.19397993311,0.0,1.0,0.34193152065340143,10400.000095367432,310.3797311782837
2015-01-15 17:40:00+01:00,295.9499988555908,282.2530045032501,0.0,0.0,21528.239202657805,24518.272425249168,0.0,1.0,0.3420850597227661,10400.000095367432,310.40248451232907
2015-01-15 17:45:00+01:00,295.9159980773926,282.24458584785464,0.0,0.0,22876.254180602013,22274.247491638795,0.0,1.0,0.3422385987921307,10400.000095367432,310.4770614624024
2015-01-15 17:50:00+01:00,295.86699905395506,282.24262347221367,0.0,0.0,24000.0,18600.0,0.0,1.0,0.34239213786149536,13199.999809265137,310.59401969909663
2015-01-15 17:55:00+01:00,295.8139991760254,282.2752439498901,0.0,0.0,22800.0,24600.0,0.0,1.0,0.34254567693086,13199.999809265137,310.83184757232664
2015-01-15 18:00:00+01:00,295.8059989929199,282.35812935829165,0.0,0.0,23478.260869565216,21672.240802675587,0.0,1.0,0.3426992160002246,13199.999809265137,310.91729640960693
2015-01-15 18:05:00+01:00,295.77199935913086,282.41178798675537,0.0,0.0,23400.0,18000.0,0.0,1.0,0.07753724320750424,10600.000858306883,310.93218898773193
2015-01-15 18:10:00+01:00,295.7559982299805,282.45760173797606,0.0,0.0,23478.260869565216,25886.28762541806,0.0,1.0,0.07769078227686887,10600.000858306883,310.9456052780152
2015-01-15 18:15:00+01:00,295.69499855041505,282.4667721748352,0.0,0.0,22724.252491694355,20930.23255813953,0.0,1.0,0.07784432134623351,10600.000858306883,310.9423982620239
2015-01-15 18:20:00+01:00,295.6579978942871,282.52487039566034,0.0,0.0,24000.0,19800.0,0.0,1.0,0.07799786041559814,10199.99933242798,310.9207538604736
2015-01-15 18:25:00+01:00,295.62399826049807,282.5822138309478,0.0,0.0,22800.0,25800.0,0.0,1.0,0.07815139948496277,10199.99933242798,310.9326654434204
2015-01-15 18:30:00+01:00,295.58999786376955,282.6868078231812,0.0,0.0,22876.254180602013,19264.214046822744,0.0,1.0,0.07830493855432741,10199.99933242798,311.0352909088135
2015-01-15 18:35:00+01:00,295.57199859619135,282.48507313728334,0.0,0.0,18000.0,19200.0,0.0,1.0,0.07845847762369204,9799.999713897703,309.46298599243164
2015-01-15 18:40:00+01:00,295.5379985809326,281.51939907073967,0.0,0.0,11400.0,12000.0,0.0,1.0,0.07861201669305667,9799.999713897703,308.04515609741213
2015-01-15 18:45:00+01:00,295.49999847412107,280.9798232555389,0.0,0.0,3000.0,3600.0,0.0,1.0,0.07876555576242131,9799.999713897703,305.5224727630615
